sector_name,baseline_sales,shock_sales,shock_rate,lipstick_score,z_score
노래방,265103176990,315942826977,0.19177306950537876,0.4114202447590264,3.2074551236548086
호프-간이주점,2373987067506,2470483495930,0.04064741116107875,0.26029458641472636,2.029271081068274
전자상거래업,110945722592,111825509553,0.007929886258304826,0.22757706151195242,1.7742034361978312
당구장,80230523994,77264012171,-0.03697485290289079,0.1826723223507568,1.424123590750946
중식음식점,860702384504,808006523740,-0.06122425325261208,0.15842292200103553,1.2350739161467557
한식음식점,11330105475764,10587269995232,-0.065562980161216,0.1540841950924316,1.2012489597173714
양식음식점,1295462724918,1168521121889,-0.09798939065347105,0.12165778460017655,0.9484508589918343
치킨전문점,395237321865,351077901939,-0.11172887144773083,0.10791830380591677,0.841337102118453
일식음식점,1028677172104,904280531945,-0.12092874570606629,0.09871842954758131,0.7696143704279856
외국어학원,162246105781,142290172445,-0.12299791874780985,0.09664925650583775,0.7534829822451897
자동차미용,16094146184,14033243441,-0.12805294045662682,0.09159423479702078,0.7140737516915793
수산물판매,4515245463036,3814906796729,-0.15510533636328605,0.06454183889036155,0.503171767738956
패스트푸드점,570514727120,481944851719,-0.15524555491863848,0.06440162033500912,0.5020786160782739
분식전문점,1028325755623,867170602918,-0.15671605211071069,0.06293112314293692,0.49061453813579303
커피-음료,2482720857803,2078628492150,-0.1627619006715833,0.0568852745820643,0.4434807663040983
가방,222127920552,184088392614,-0.17125054717781402,0.048396628075833587,0.37730280574882386
예술학원,351786847089,291493711392,-0.17139110286788578,0.04825607238576182,0.3762070257671081
일반교습학원,2350486871404,1937579733725,-0.175668770033317,0.04397840522033061,0.3428580944934697
반찬가게,2980779061103,2451250497916,-0.1776477062983174,0.041999468955330216,0.327430197243835
서적,292084113720,240124540767,-0.1778924991545754,0.04175467609907221,0.3255217785137389
핸드폰,332403529850,268100227826,-0.1934495161739631,0.026197659079684493,0.2042384080834717
피부관리실,162824658743,130994944212,-0.19548460765540154,0.02416256759824606,0.1883727216414514
스포츠클럽,362101680132,290384910514,-0.19805699214611894,0.021590183107528665,0.16831826899876662
일반의류,6853698796339,5493922884849,-0.1984003020699339,0.02124687318371371,0.16564180572752732
미곡판매,320125657085,256487465213,-0.19879128855673928,0.020855886696908327,0.1625936533180166
세탁소,88188418093,70534014273,-0.2001895963411246,0.019457578912523005,0.1516923680151992
PC방,201916886744,160732212277,-0.20396845024267793,0.015678725010969674,0.12223221270568274
여관,246704414572,196291181090,-0.2043467019812369,0.015300473272410714,0.11928334110218916
인테리어,146070392718,116205269531,-0.204457060950448,0.015190114303199609,0.11842297643674897
일반의원,5411408109181,4301826360857,-0.2050449210144551,0.014602254239192508,0.11383998666337017
스포츠 강습,312236289879,246683353117,-0.20994656574802223,0.009700609505625374,0.07562649154422756
편의점,3330497433735,2630126621706,-0.21029015213609287,0.009357023117554736,0.07294787294226573
자동차수리,630848126139,490286423413,-0.22281385471695747,-0.0031666794633098683,-0.024687609321497696
운동/경기용품,725507159549,562317605386,-0.2249316936643936,-0.005284518410746009,-0.04119839961332794
안경,371785319521,288091894953,-0.22511223594258312,-0.0054650606889355136,-0.04260591726126093
시계및귀금속,1261981291559,974855050196,-0.2275202043671313,-0.007873029113483698,-0.06137857310234572
치과의원,1912175616531,1468712973305,-0.2319152275513867,-0.012268052297739085,-0.09564241842959328
문구,1295171863909,977663209532,-0.2451478936692748,-0.025500718415627205,-0.19880501988177293
의약품,5215267358937,3928900231944,-0.2466541096476391,-0.02700693439399149,-0.21054756346993522
제과점,809380942220,603688867773,-0.2541350601644019,-0.0344878849107543,-0.26886947001309286
한의원,671508111512,498235304696,-0.2580353146082638,-0.038388139354616185,-0.2992760707063801
청과상,3390591823702,2505830794101,-0.26094589841692545,-0.041298723163277845,-0.3219671440525314
가전제품수리,28287495457,20896344385,-0.26128686730980955,-0.04163969205616194,-0.3246253565163555
미용실,948740266788,700562886651,-0.26158621998538645,-0.041939044731738845,-0.32695912663411253
네일숍,63248832520,46564522782,-0.2637884222246194,-0.0441412469709718,-0.3441276178436032
육류판매,2991818254797,2195137059590,-0.26628662818325377,-0.04663945292960617,-0.36360377052213755
골프연습장,155121467492,113709931284,-0.2669619935753618,-0.04731481832171422,-0.36886895670305797
의료기기,781131120903,572099470718,-0.267601231843581,-0.047954056589933375,-0.3738524938156681
조명용품,1669030496632,1220556401765,-0.26870335549409846,-0.04905618024045086,-0.3824447111282214
부동산중개업,27251704684,19839482064,-0.27199115453323763,-0.05234397927959003,-0.4080765754031817
철물점,90774280121,65555571966,-0.2778177708639942,-0.05817059561034657,-0.4535012005686302
신발,567007610492,409067542340,-0.27855017327713344,-0.058902998023485836,-0.4592110505396169
슈퍼마켓,3671638104120,2582206034460,-0.2967155364352309,-0.0770683611815833,-0.6008292326215809
화초,217895252915,151206827644,-0.30605726549267626,-0.08641009023902865,-0.6736578722201205
섬유제품,176690261696,121344256199,-0.31323744141725357,-0.09359026616360597,-0.729634923304511
가전제품,934576495842,641283008716,-0.313825019600733,-0.0941778443470854,-0.7342157155216094
화장품,1519309290298,1013931179463,-0.33263675412389154,-0.11298957887024394,-0.8808730447361196
자전거 및 기타운송장비,49780158369,31771987036,-0.3617539984407598,-0.14210682318711218,-1.10787270180343
애완동물,32776839149,20886630935,-0.36276250311838754,-0.14311532786473993,-1.1157350603934444
컴퓨터및주변장치판매,3702551996784,2312316678418,-0.3754802956375885,-0.1558331203839409,-1.2148836786175723
가구,673771045780,395992258174,-0.41227474725398106,-0.19262757200033345,-1.501735271028128
완구,97416291676,53505262994,-0.4507565205627526,-0.231109345309105,-1.8017413172518273
고시원,448366685,90000000,-0.7992714378411054,-0.5796242625874578,-4.518783007189374
